rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
6,30,45,1.5,0.0,aligned,td_pc,12,10,2,45,0.5942933333333333
6,30,45,1.5,0.0,aligned,mvpc,12,10,2,45,0.5942933333333333
6,30,45,1.5,0.0,aligned,fci,11,10,1,45,0.5942933333333333
6,30,45,1.5,0.0,aligned,cdnod_true,12,10,2,45,0.5942933333333333
6,30,45,1.5,0.0,aligned,cdnod_est,12,10,2,45,0.5942933333333333
6,30,45,1.5,0.0,closed,td_pc,13,10,3,45,0.5942933333333333
6,30,45,1.5,0.0,closed,mvpc,13,10,3,45,0.5942933333333333
6,30,45,1.5,0.0,closed,fci,12,10,2,45,0.5942933333333333
6,30,45,1.5,0.0,closed,cdnod_true,13,10,3,45,0.5942933333333333
6,30,45,1.5,0.0,closed,cdnod_est,13,10,3,45,0.5942933333333333
6,30,45,1.5,1.0,aligned,td_pc,11,10,1,45,0.5942933333333333
6,30,45,1.5,1.0,aligned,mvpc,11,10,1,45,0.5942933333333333
6,30,45,1.5,1.0,aligned,fci,10,10,0,45,0.5942933333333333
6,30,45,1.5,1.0,aligned,cdnod_true,11,10,1,45,0.5942933333333333
6,30,45,1.5,1.0,aligned,cdnod_est,11,10,1,45,0.5942933333333333
6,30,45,1.5,1.0,closed,td_pc,13,10,3,45,0.5942933333333333
6,30,45,1.5,1.0,closed,mvpc,13,10,3,45,0.5942933333333333
6,30,45,1.5,1.0,closed,fci,12,10,2,45,0.5942933333333333
6,30,45,1.5,1.0,closed,cdnod_true,13,10,3,45,0.5942933333333333
6,30,45,1.5,1.0,closed,cdnod_est,13,10,3,45,0.5942933333333333
6,30,45,1.5,2.0,aligned,td_pc,13,10,3,45,0.5942933333333333
6,30,45,1.5,2.0,aligned,mvpc,13,10,3,45,0.5942933333333333
6,30,45,1.5,2.0,aligned,fci,12,10,2,45,0.5942933333333333
6,30,45,1.5,2.0,aligned,cdnod_true,13,10,3,45,0.5942933333333333
6,30,45,1.5,2.0,aligned,cdnod_est,13,10,3,45,0.5942933333333333
6,30,45,1.5,2.0,closed,td_pc,13,10,3,45,0.5942933333333333
6,30,45,1.5,2.0,closed,mvpc,13,10,3,45,0.5942933333333333
6,30,45,1.5,2.0,closed,fci,12,10,2,45,0.5942933333333333
6,30,45,1.5,2.0,closed,cdnod_true,13,10,3,45,0.5942933333333333
6,30,45,1.5,2.0,closed,cdnod_est,13,10,3,45,0.5942933333333333
