rep,gamma,alignment,selfmask,arm,shd_a,f1_a,shd_b,excess,spurious,n_true_edges,miss_rate
0,0.0,aligned,0,complete,1,0.9714285714285714,4,0,0,18,0.47255416666666666
0,0.0,aligned,0,td_pc,4,0.875,7,3,0,18,0.47255416666666666
0,0.0,aligned,0,mvpc,4,0.875,7,3,0,18,0.47255416666666666
0,0.0,aligned,0,fci,4,0.875,7,3,0,18,0.47255416666666666
0,0.0,aligned,0,cdnod_true,4,0.875,7,3,0,18,0.47255416666666666
0,0.0,aligned,0,cdnod_est,4,0.875,7,3,0,18,0.47255416666666666
0,0.0,closed,0,complete,1,0.9714285714285714,4,0,1,18,0.47255416666666666
0,0.0,closed,0,td_pc,4,0.875,7,3,1,18,0.47255416666666666
0,0.0,closed,0,mvpc,4,0.875,7,3,1,18,0.47255416666666666
0,0.0,closed,0,fci,4,0.875,7,3,1,18,0.47255416666666666
0,0.0,closed,0,cdnod_true,4,0.875,7,3,1,18,0.47255416666666666
0,0.0,closed,0,cdnod_est,4,0.875,7,3,1,18,0.47255416666666666
0,1.0,aligned,0,complete,2,0.9411764705882353,5,0,3,18,0.47255416666666666
0,1.0,aligned,0,td_pc,4,0.875,7,2,3,18,0.47255416666666666
0,1.0,aligned,0,mvpc,4,0.875,7,2,3,18,0.47255416666666666
0,1.0,aligned,0,fci,4,0.875,7,2,3,18,0.47255416666666666
0,1.0,aligned,0,cdnod_true,4,0.875,7,2,3,18,0.47255416666666666
0,1.0,aligned,0,cdnod_est,4,0.875,7,2,3,18,0.47255416666666666
0,1.0,closed,0,complete,2,0.9411764705882353,5,0,0,18,0.47255416666666666
0,1.0,closed,0,td_pc,4,0.875,7,2,0,18,0.47255416666666666
0,1.0,closed,0,mvpc,4,0.875,7,2,0,18,0.47255416666666666
0,1.0,closed,0,fci,4,0.875,7,2,0,18,0.47255416666666666
0,1.0,closed,0,cdnod_true,4,0.875,7,2,0,18,0.47255416666666666
0,1.0,closed,0,cdnod_est,4,0.875,7,2,0,18,0.47255416666666666
0,2.0,aligned,0,complete,3,0.9090909090909091,6,0,7,18,0.47255416666666666
0,2.0,aligned,0,td_pc,6,0.8235294117647058,9,3,7,18,0.47255416666666666
0,2.0,aligned,0,mvpc,4,0.875,7,1,7,18,0.47255416666666666
0,2.0,aligned,0,fci,6,0.8235294117647058,9,3,7,18,0.47255416666666666
0,2.0,aligned,0,cdnod_true,6,0.8235294117647058,9,3,7,18,0.47255416666666666
0,2.0,aligned,0,cdnod_est,6,0.8235294117647058,9,3,7,18,0.47255416666666666
0,2.0,closed,0,complete,3,0.9090909090909091,6,0,0,18,0.47255416666666666
0,2.0,closed,0,td_pc,6,0.8235294117647058,9,3,0,18,0.47255416666666666
0,2.0,closed,0,mvpc,4,0.875,7,1,0,18,0.47255416666666666
0,2.0,closed,0,fci,6,0.8235294117647058,9,3,0,18,0.47255416666666666
0,2.0,closed,0,cdnod_true,6,0.8235294117647058,9,3,0,18,0.47255416666666666
0,2.0,closed,0,cdnod_est,6,0.8235294117647058,9,3,0,18,0.47255416666666666
0,1.0,aligned,1,complete,2,0.9411764705882353,5,0,3,18,0.4957166666666667
0,1.0,aligned,1,td_pc,4,0.875,7,2,3,18,0.4957166666666667
0,1.0,aligned,1,mvpc,4,0.875,7,2,3,18,0.4957166666666667
0,1.0,aligned,1,fci,4,0.875,7,2,3,18,0.4957166666666667
0,1.0,aligned,1,cdnod_true,4,0.875,7,2,3,18,0.4957166666666667
0,1.0,aligned,1,cdnod_est,4,0.875,7,2,3,18,0.4957166666666667
0,1.0,closed,1,complete,2,0.9411764705882353,5,0,0,18,0.4959458333333333
0,1.0,closed,1,td_pc,4,0.875,7,2,0,18,0.4959458333333333
0,1.0,closed,1,mvpc,4,0.875,7,2,0,18,0.4959458333333333
0,1.0,closed,1,fci,4,0.875,7,2,0,18,0.4959458333333333
0,1.0,closed,1,cdnod_true,4,0.875,7,2,0,18,0.4959458333333333
0,1.0,closed,1,cdnod_est,4,0.875,7,2,0,18,0.4959458333333333
