rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
12,0.0,0.0,aligned,1,0,1,6,6,1,1.0,0.4714125,0|4|6|7|10|11
12,0.0,0.0,closed,0,0,0,6,6,0,nan,0.4714125,0|4|6|7|10|11
12,0.0,0.15,aligned,6,0,6,6,6,9,1.0,0.47834583333333336,0|4|6|7|10|11
12,0.0,0.15,closed,7,1,6,6,6,9,1.0,0.4779791666666667,0|4|6|7|10|11
12,0.0,0.3,aligned,5,0,5,6,6,8,1.0,0.48517916666666666,0|4|6|7|10|11
12,0.0,0.3,closed,5,0,5,6,6,8,0.875,0.4848708333333333,0|4|6|7|10|11
12,0.0,0.6,aligned,7,1,6,6,6,13,0.9230769230769231,0.4986541666666667,0|4|6|7|10|11
12,0.0,0.6,closed,6,0,6,6,6,12,0.9166666666666666,0.49825,0|4|6|7|10|11
12,1.0,0.0,aligned,9,3,6,6,6,9,1.0,0.4714125,0|4|6|7|10|11
12,1.0,0.0,closed,1,1,0,6,6,1,1.0,0.4714125,0|4|6|7|10|11
12,1.0,0.15,aligned,8,3,5,6,6,12,1.0,0.478475,0|4|6|7|10|11
12,1.0,0.15,closed,4,0,4,6,6,9,0.8888888888888888,0.4782458333333333,0|4|6|7|10|11
12,1.0,0.3,aligned,8,3,5,6,6,13,0.9230769230769231,0.4854125,0|4|6|7|10|11
12,1.0,0.3,closed,6,1,5,6,6,9,0.8888888888888888,0.48502083333333335,0|4|6|7|10|11
12,1.0,0.6,aligned,9,3,6,6,6,13,0.9230769230769231,0.4989458333333333,0|4|6|7|10|11
12,1.0,0.6,closed,7,1,6,6,6,16,0.9375,0.4980375,0|4|6|7|10|11
12,2.0,0.0,aligned,9,5,4,6,6,13,1.0,0.4714125,0|4|6|7|10|11
12,2.0,0.0,closed,2,1,1,6,6,2,1.0,0.4714125,0|4|6|7|10|11
12,2.0,0.15,aligned,10,5,5,6,6,17,1.0,0.478525,0|4|6|7|10|11
12,2.0,0.15,closed,5,0,5,6,6,7,1.0,0.47835833333333333,0|4|6|7|10|11
12,2.0,0.3,aligned,9,5,4,6,6,14,0.9285714285714286,0.4854541666666667,0|4|6|7|10|11
12,2.0,0.3,closed,6,1,5,6,6,8,0.75,0.4848625,0|4|6|7|10|11
12,2.0,0.6,aligned,10,4,6,6,6,15,0.9333333333333333,0.49909583333333335,0|4|6|7|10|11
12,2.0,0.6,closed,9,3,6,6,6,15,0.9333333333333333,0.4983208333333333,0|4|6|7|10|11
