rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
47,0.0,0.0,aligned,2,1,1,6,6,2,1.0,0.4700875,2|3|5|7|9|11
47,0.0,0.0,closed,1,0,1,6,6,1,1.0,0.4700875,2|3|5|7|9|11
47,0.0,0.15,aligned,3,1,2,6,6,3,1.0,0.4755625,2|3|5|7|9|11
47,0.0,0.15,closed,1,0,1,6,6,1,1.0,0.47554583333333333,2|3|5|7|9|11
47,0.0,0.3,aligned,3,1,2,6,6,3,1.0,0.480975,2|3|5|7|9|11
47,0.0,0.3,closed,3,0,3,6,6,5,1.0,0.4805875,2|3|5|7|9|11
47,0.0,0.6,aligned,7,1,6,6,6,11,1.0,0.49217083333333334,2|3|5|7|9|11
47,0.0,0.6,closed,5,0,5,6,6,9,1.0,0.49194583333333336,2|3|5|7|9|11
47,1.0,0.0,aligned,4,2,2,6,6,4,1.0,0.4700875,2|3|5|7|9|11
47,1.0,0.0,closed,0,0,0,6,6,0,nan,0.4700875,2|3|5|7|9|11
47,1.0,0.15,aligned,6,2,4,6,6,6,1.0,0.47560416666666666,2|3|5|7|9|11
47,1.0,0.15,closed,3,0,3,6,6,4,1.0,0.4756625,2|3|5|7|9|11
47,1.0,0.3,aligned,4,2,2,6,6,6,1.0,0.4810625,2|3|5|7|9|11
47,1.0,0.3,closed,3,1,2,6,6,5,1.0,0.48097083333333335,2|3|5|7|9|11
47,1.0,0.6,aligned,4,0,4,6,6,8,1.0,0.49240833333333334,2|3|5|7|9|11
47,1.0,0.6,closed,6,0,6,6,6,10,1.0,0.4917666666666667,2|3|5|7|9|11
47,2.0,0.0,aligned,5,4,1,6,6,5,1.0,0.4700875,2|3|5|7|9|11
47,2.0,0.0,closed,0,0,0,6,6,0,nan,0.4700875,2|3|5|7|9|11
47,2.0,0.15,aligned,5,2,3,6,6,7,1.0,0.4755875,2|3|5|7|9|11
47,2.0,0.15,closed,2,1,1,6,6,2,1.0,0.47537083333333335,2|3|5|7|9|11
47,2.0,0.3,aligned,6,3,3,6,6,6,1.0,0.481,2|3|5|7|9|11
47,2.0,0.3,closed,4,2,2,6,6,6,1.0,0.48104583333333334,2|3|5|7|9|11
47,2.0,0.6,aligned,7,3,4,6,6,12,1.0,0.49244166666666667,2|3|5|7|9|11
47,2.0,0.6,closed,8,2,6,6,6,10,1.0,0.49209583333333334,2|3|5|7|9|11
